hb,channel,ch_idx,act_hc,sem_hc,act_gad,sem_gad,U,p_raw,d,abs_d,diff,p_fdr,sig_raw,sig_fdr
HbT,S3_D4,7,0.916060,0.042870,0.917939,0.039459,249.000000,0.886955,0.044972,0.044972,0.001879,0.971427,False,False
HbT,S3_D6,8,0.910992,0.035329,0.913548,0.040147,243.000000,0.784561,0.069141,0.069141,0.002556,0.971427,False,False
HbT,S4_D4,9,0.935774,0.031642,0.938244,0.021301,264.000000,0.869709,0.086108,0.086108,0.002470,0.971427,False,False
HbT,S4_D5,10,0.890081,0.058857,0.914533,0.046622,181.000000,0.103239,0.443243,0.443243,0.024452,0.514053,False,False
HbT,S4_D7,11,0.913887,0.037282,0.915052,0.033399,257.000000,0.991275,0.032303,0.032303,0.001165,0.991275,False,False
HbT,S5_D2,12,0.926880,0.027403,0.916485,0.029097,316.000000,0.193159,-0.371695,0.371695,-0.010395,0.555331,False,False
HbT,S5_D5,13,0.935791,0.027615,0.915624,0.057745,300.000000,0.341419,-0.503963,0.503963,-0.020166,0.557250,False,False
HbT,S5_D8,14,0.930936,0.030723,0.906961,0.048232,335.000000,0.086010,-0.641966,0.641966,-0.023975,0.514053,False,False
HbT,S6_D3,15,0.922242,0.035461,0.918228,0.027237,301.000000,0.330437,-0.121598,0.121598,-0.004013,0.557250,False,False
HbT,S6_D6,16,0.908652,0.041764,0.922836,0.043036,191.000000,0.158350,0.336253,0.336253,0.014184,0.520292,False,False
HbT,S7_D4,17,0.907096,0.037772,0.916946,0.026784,215.000000,0.375751,0.284884,0.284884,0.009850,0.557250,False,False
HbT,S7_D6,18,0.916350,0.040488,0.940353,0.029519,154.000000,0.026429,0.644069,0.644069,0.024003,0.514053,True,False
HbT,S7_D7,19,0.929520,0.038957,0.933053,0.030522,254.000000,0.973830,0.096989,0.096989,0.003533,0.991275,False,False
HbT,S8_D5,20,0.921626,0.027328,0.915093,0.040977,264.000000,0.869709,-0.201539,0.201539,-0.006533,0.971427,False,False
HbT,S8_D7,21,0.931953,0.035682,0.925258,0.033216,297.000000,0.375751,-0.191850,0.191850,-0.006695,0.557250,False,False
HbT,S8_D8,22,0.913419,0.047803,0.910336,0.047291,274.000000,0.701918,-0.064726,0.064726,-0.003083,0.949654,False,False
