task,channel,ch_idx,mean_hc,std_hc,mean_gad,std_gad,U,p_raw,d,p_fdr,sig_raw,sig_fdr,diff
SS,S3_D1,5,0.940797,0.024906,0.937871,0.031370,258.000000,0.973830,-0.107638,0.991275,False,False,-0.002926
SS,S3_D3,6,0.945501,0.022103,0.940475,0.030015,284.000000,0.547549,-0.201359,0.899544,False,False,-0.005026
SS,S3_D4,7,0.926167,0.052425,0.933009,0.040916,237.000000,0.685769,0.139723,0.927805,False,False,0.006842
SS,S3_D6,8,0.930874,0.028875,0.934722,0.029529,255.000000,0.991275,0.132260,0.991275,False,False,0.003847
SS,S4_D4,9,0.950398,0.022234,0.947777,0.037066,246.000000,0.835409,-0.093795,0.991275,False,False,-0.002621
SS,S4_D5,10,0.900634,0.061725,0.933921,0.048725,160.000000,0.036741,0.575825,0.422525,True,False,0.033287
SS,S4_D7,11,0.925589,0.039208,0.930282,0.049309,218.000000,0.412135,0.109736,0.899544,False,False,0.004693
SS,S5_D2,12,0.949482,0.024663,0.949254,0.037315,225.000000,0.504741,-0.007739,0.899544,False,False,-0.000227
SS,S5_D5,13,0.948172,0.022125,0.937470,0.044352,279.000000,0.622659,-0.343400,0.927805,False,False,-0.010703
SS,S5_D8,14,0.952358,0.022861,0.938281,0.034457,337.000000,0.078311,-0.517687,0.450289,False,False,-0.014077
SS,S6_D3,15,0.944672,0.022384,0.940496,0.037187,253.000000,0.956397,-0.148713,0.991275,False,False,-0.004176
SS,S6_D6,16,0.930097,0.026746,0.942515,0.035220,184.000000,0.117879,0.417053,0.542245,False,False,0.012418
SS,S7_D4,17,0.919932,0.031108,0.934901,0.041938,172.000000,0.067823,0.427583,0.450289,False,False,0.014970
SS,S7_D6,18,0.932109,0.028999,0.949581,0.031947,149.000000,0.019848,0.582548,0.422525,True,False,0.017472
SS,S7_D7,19,0.937220,0.025594,0.943792,0.038158,206.000000,0.278992,0.217099,0.899544,False,False,0.006571
SS,S8_D5,20,0.936892,0.030814,0.938722,0.038653,221.000000,0.450531,0.054516,0.899544,False,False,0.001830
SS,S8_D7,21,0.940213,0.031874,0.942479,0.039041,225.000000,0.504741,0.065926,0.899544,False,False,0.002266
SS,S8_D8,22,0.930020,0.034995,0.934380,0.046919,216.000000,0.387652,0.110993,0.899544,False,False,0.004360
